bail_year,race_group,bail_type,bail_type_count,bail_type_pct
2020,Black,Denied,283,1.8298202508728825
2020,Black,Monetary,8021,51.86214923057028
2020,Black,Nonmonetary,90,0.5819216345532136
2020,Black,ROR,3747,24.227337385232122
2020,Black,Unsecured,3325,21.4987714987715
2020,Other,Denied,6,0.456968773800457
2020,Other,Monetary,463,35.26275704493526
2020,Other,Nonmonetary,34,2.5894897182025893
2020,Other,ROR,618,47.06778370144707
2020,Other,Unsecured,192,14.623000761614623
2020,White,Denied,57,0.7667473769168685
2020,White,Monetary,3323,44.700026903416735
2020,White,Nonmonetary,41,0.5515200430454668
2020,White,ROR,2481,33.37368845843422
2020,White,Unsecured,1532,20.60801721818671
2021,Black,Denied,95,2.434025108890597
2021,Black,Monetary,2242,57.44299256981809
2021,Black,Nonmonetary,0,0.0
2021,Black,ROR,803,20.573917499359467
2021,Black,Unsecured,763,19.549064821931847
2021,Other,Denied,0,0.0
2021,Other,Monetary,36,49.31506849315068
2021,Other,Nonmonetary,0,0.0
2021,Other,ROR,22,30.136986301369863
2021,Other,Unsecured,15,20.54794520547945
2021,White,Denied,21,1.0228933268387725
2021,White,Monetary,983,47.881149537262544
2021,White,Nonmonetary,1,0.04870920603994155
2021,White,ROR,610,29.712615684364344
2021,White,Unsecured,438,21.334632245494397
