bail_year,bail_month,bail_amount,bail_paid,monetary_bail,count
2020,1,108507700.0,2775850.0,1308,2516
2020,2,125310300.0,4069140.0,1265,2676
2020,3,74407400.0,2364740.0,798,1738
2020,4,89115200.0,2163680.0,510,880
2020,5,180731048.0,4661405.0,1002,2123
2020,6,98238899.0,2958600.0,830,1955
2020,7,123966800.0,2582670.0,891,1860
2020,8,160580400.0,3584930.0,926,2055
2020,9,170847000.0,3499280.0,1151,2245
2020,10,188363496.0,3889770.0,1311,2685
2020,11,116159749.0,2215230.0,846,1553
2020,12,134683800.0,1956400.0,969,1927
2021,1,198458448.0,3030370.0,1151,2159
2021,2,155248700.0,2908420.0,985,1785
2021,3,183210199.0,2637280.0,1125,2085
