zipcode,unemployment_rate
19102,3.9
19103,3.4
19104,8.2
19106,3.1
19107,3.9
19109,-
19111,9.1
19112,-
19113,9.7
19114,6.1
19115,6.2
19116,6.7
19118,5.5
19119,10.8
19120,14.4
19121,14.7
19122,11.7
19123,6.2
19124,14.8
19125,8.7
19126,15.5
19127,3.5
19128,5.0
19129,3.0
19130,4.1
19131,9.0
19132,12.6
19133,24.3
19134,16.5
19135,10.8
19136,10.0
19137,6.4
19138,17.3
19139,12.5
19140,19.3
19141,14.4
19142,16.2
19143,13.8
19144,11.2
19145,11.1
19146,7.8
19147,5.6
19148,8.0
19149,9.5
19150,12.3
19151,10.8
19152,5.5
19153,8.4
19154,6.0
